"data","casos","n_casos","obitos","n_obitos"
"2020-02-25",0,0,0,0
"2020-02-26",0,0,0,0
"2020-02-27",0,0,0,0
"2020-02-28",0,0,0,0
"2020-02-29",0,0,0,0
"2020-03-01",0,0,0,0
"2020-03-02",0,0,0,0
"2020-03-03",0,0,0,0
"2020-03-04",0,0,0,0
"2020-03-05",0,0,0,0
"2020-03-06",1,1,0,0
"2020-03-07",2,1,0,0
"2020-03-08",2,0,0,0
"2020-03-09",2,0,0,0
"2020-03-10",2,0,0,0
"2020-03-11",2,0,0,0
"2020-03-12",2,0,0,0
"2020-03-13",2,0,0,0
"2020-03-14",2,0,0,0
"2020-03-15",2,0,0,0
"2020-03-16",2,0,0,0
"2020-03-17",3,1,0,0
"2020-03-18",3,0,0,0
"2020-03-19",30,27,0,0
"2020-03-20",33,3,0,0
"2020-03-21",41,8,0,0
"2020-03-22",49,8,0,0
"2020-03-23",63,14,0,0
"2020-03-24",76,13,0,0
"2020-03-25",84,8,0,0
"2020-03-26",104,20,0,0
"2020-03-27",115,11,0,0
"2020-03-28",255,140,0,0
"2020-03-29",310,55,2,2
"2020-03-30",352,42,2,0
"2020-03-31",430,78,4,2
"2020-04-01",492,62,4,0
"2020-04-02",534,42,6,2
"2020-04-03",571,37,10,4
"2020-04-04",668,97,14,4
"2020-04-05",802,134,18,4
"2020-04-06",862,60,20,2
"2020-04-07",918,56,26,6
"2020-04-08",1012,94,33,7
"2020-04-09",1127,115,38,5
"2020-04-10",1220,93,38,0
"2020-04-11",1275,55,42,4
"2020-04-12",1347,72,42,0
"2020-04-13",1446,99,44,2
"2020-04-14",1535,89,47,3
"2020-04-15",1691,156,55,8
"2020-04-16",1918,227,64,9
"2020-04-17",2123,205,72,8
"2020-04-18",2393,270,76,4
"2020-04-19",2479,86,90,14
"2020-04-20",2718,239,93,3
"2020-04-21",2993,275,95,2
"2020-04-22",3289,296,103,8
"2020-04-23",3634,345,121,18
"2020-04-24",3941,307,131,10
"2020-04-25",4197,256,142,11
"2020-04-26",4457,260,147,5
"2020-04-27",4710,253,159,12
"2020-04-28",5104,394,179,20
"2020-04-29",5322,218,196,17
"2020-04-30",5718,396,210,14
"2020-05-01",6225,507,234,24
"2020-05-02",6582,357,246,12
"2020-05-03",7061,479,251,5
"2020-05-04",7468,407,282,31
"2020-05-05",8080,612,292,10
"2020-05-06",8602,522,320,28
"2020-05-07",9056,454,330,10
"2020-05-08",9636,580,366,36
"2020-05-09",10348,712,392,26
"2020-05-10",11116,768,404,12
"2020-05-11",11616,500,422,18
"2020-05-12",12408,792,450,28
"2020-05-13",13094,686,472,22
"2020-05-14",13910,816,524,52
"2020-05-15",16256,2346,559,35
"2020-05-16",16628,372,572,13
"2020-05-17",16886,258,590,18
"2020-05-18",17162,276,624,34
"2020-05-19",22026,4864,652,28
"2020-05-20",22394,368,724,72
"2020-05-21",23882,1488,752,28
"2020-05-22",25114,1232,798,46
"2020-05-23",26000,886,826,28
"2020-05-24",27798,1798,920,94
"2020-05-25",28408,610,954,34
"2020-05-26",29132,724,990,36
"2020-05-27",30140,1008,1062,72
"2020-05-28",31926,1786,1140,78
"2020-05-29",33834,1908,1218,78
"2020-05-30",35252,1418,1276,58
"2020-05-31",36784,1532,1334,58
"2020-06-01",37796,1012,1402,68
"2020-06-02",42860,5064,1472,70
"2020-06-03",44902,2042,1524,52
"2020-06-04",46926,2024,1580,56
"2020-06-05",52838,5912,1638,58
"2020-06-06",54792,1954,1692,54
"2020-06-07",56500,1708,1758,66
"2020-06-08",57430,930,1820,62
"2020-06-09",60962,3532,1874,54
"2020-06-10",65370,4408,1950,76
"2020-06-11",67782,2412,2026,76
"2020-06-12",69330,1548,2078,52
"2020-06-13",71576,2246,2138,60
"2020-06-14",72802,1226,2210,72
"2020-06-15",75240,2438,2290,80
"2020-06-16",78412,3172,2362,72
"2020-06-17",81852,3440,2444,82
"2020-06-18",83154,1302,2526,82
"2020-06-19",87844,4690,2610,84
"2020-06-20",90608,2764,2700,90
"2020-06-21",92558,1950,2782,82
"2020-06-22",94172,1614,2882,100
"2020-06-23",98168,3996,2982,100
"2020-06-24",103862,5694,3082,100
"2020-06-25",108582,4720,3202,120
"2020-06-26",112844,4262,3284,82
"2020-06-27",130488,17644,3394,110
"2020-06-28",136990,6502,3496,102
"2020-06-29",138934,1944,3600,104
"2020-06-30",146614,7680,3706,106
"2020-07-01",152970,6356,3804,98
"2020-07-02",158698,5728,3894,90
"2020-07-03",164628,5930,4002,108
"2020-07-04",170970,6342,4100,98
"2020-07-05",174096,3126,4214,114
"2020-07-06",176558,2462,4336,122
"2020-07-07",183908,7350,4432,96
"2020-07-08",191072,7164,4554,122
"2020-07-09",196638,5566,4656,102
"2020-07-10",202372,5734,4766,110
"2020-07-11",208376,6004,4872,106
"2020-07-12",211526,3150,4966,94
"2020-07-13",213782,2256,5070,104
"2020-07-14",220058,6276,5168,98
"2020-07-15",225986,5928,5276,108
"2020-07-16",232746,6760,5386,110
"2020-07-17",237314,4568,5476,90
"2020-07-18",240476,3162,5586,110
"2020-07-19",244338,3862,5680,94
"2020-07-20",246584,2246,5782,102
"2020-07-21",253688,7104,5872,90
"2020-07-22",266490,12802,5976,104
"2020-07-23",276716,10226,6088,112
"2020-07-24",285534,8818,6192,104
"2020-07-25",292798,7264,6280,88
"2020-07-26",296358,3560,6364,84
"2020-07-27",298218,1860,6454,90
"2020-07-28",306626,8408,6540,86
"2020-07-29",314668,8042,6642,102
"2020-07-30",323260,8592,6782,140
"2020-07-31",332308,9048,6926,144
"2020-08-01",337852,5544,7034,108
"2020-08-02",340952,3100,7144,110
"2020-08-03",342782,1830,7248,104
"2020-08-04",350778,7996,7356,108
"2020-08-05",359474,8696,7472,116
"2020-08-06",367380,7906,7578,106
"2020-08-07",375784,8404,7686,108
"2020-08-08",382802,7018,7798,112
"2020-08-09",386058,3256,7906,108
"2020-08-10",388194,2136,8022,116
"2020-08-11",397534,9340,8134,112
"2020-08-12",406040,8506,8270,136
"2020-08-13",413910,7870,8404,134
"2020-08-14",421986,8076,8542,138
"2020-08-15",428758,6772,8676,134
"2020-08-16",432060,3302,8812,136
"2020-08-17",434230,2170,8950,138
"2020-08-18",442082,7852,9084,134
"2020-08-19",449318,7236,9222,138
"2020-08-20",457192,7874,9370,148
"2020-08-21",459486,2294,9514,144
"2020-08-22",468408,8922,9664,150
"2020-08-23",472100,3692,9810,146
"2020-08-24",474416,2316,9962,152
"2020-08-25",481878,7462,10102,140
"2020-08-26",490042,8164,10232,130
"2020-08-27",495706,5664,10356,124
"2020-08-28",501954,6248,10486,130
"2020-08-29",509580,7626,10604,118
"2020-08-30",512124,2544,10688,84
"2020-08-31",513454,1330,10794,106
"2020-09-01",518836,5382,10896,102
"2020-09-02",524598,5762,11004,108
"2020-09-03",531478,6880,11098,94
"2020-09-04",536274,4796,11180,82
"2020-09-05",540354,4080,11254,74
"2020-09-06",542450,2096,11316,62
"2020-09-07",543926,1476,11386,70
"2020-09-08",545628,1702,11468,82
"2020-09-09",550176,4548,11548,80
"2020-09-10",554654,4478,11636,88
"2020-09-11",559018,4364,11732,96
"2020-09-12",563330,4312,11824,92
"2020-09-13",565034,1704,11922,98
"2020-09-14",566470,1436,11998,76
"2020-09-15",570896,4426,12080,82
"2020-09-16",575370,4474,12170,90
"2020-09-17",579310,3940,12264,94
"2020-09-18",584038,4728,12362,98
"2020-09-19",588420,4382,12442,80
"2020-09-20",590606,2186,12530,88
"2020-09-21",591992,1386,12626,96
"2020-09-22",595610,3618,12718,92
"2020-09-23",598830,3220,12816,98
"2020-09-24",602496,3666,12910,94
"2020-09-25",606116,3620,13006,96
"2020-09-26",610372,4256,13104,98
"2020-09-27",612072,1700,13198,94
