"data","regiao","estado","coduf","pop","casos","obitos","casos_100k","obitos_100k"
"2022-08-12","Norte","RO",11,1777225,450436,7335,25344.9056816104,412.72208077199
"2022-08-12","Norte","AC",12,881935,147414,2025,16714.8372612494,229.608758015046
"2022-08-12","Norte","AM",13,4144597,610408,14246,14727.8010383157,343.724613032341
"2022-08-12","Norte","RR",14,605761,173945,2165,28715.1203197301,357.40168152126
"2022-08-12","Norte","PA",15,8602865,822383,18586,9559.40840638555,216.044306170096
"2022-08-12","Norte","AP",16,845731,177696,2155,21010.9361014318,254.809153265045
"2022-08-12","Norte","TO",17,1572866,341920,4190,21738.6605089054,266.392686980328
"2022-08-12","Nordeste","MA",21,7075181,465478,10965,6579.02603481098,154.978367337882
"2022-08-12","Nordeste","PI",22,3273227,392887,7913,12003.0477568467,241.749197351727
"2022-08-12","Nordeste","CE",23,9132078,1369930,27482,15001.2954335256,300.939172880477
"2022-08-12","Nordeste","RN",24,3506853,549193,8417,15660.5651847967,240.015763420936
"2022-08-12","Nordeste","PB",25,4018127,648349,10379,16135.6024834456,258.304428904313
"2022-08-12","Nordeste","PE",26,9557071,1039167,22108,10873.2790621729,231.326103991484
"2022-08-12","Nordeste","AL",27,3337357,319346,7095,9568.82946595165,212.593378532773
"2022-08-12","Nordeste","SE",28,2298696,341800,6421,14869.2998117193,279.332282302662
"2022-08-12","Nordeste","BA",29,14873064,1674335,30507,11257.4987911032,205.115771706489
"2022-08-12","Sudeste","MG",31,21168791,3854649,63257,18209.1126507886,298.821978071398
"2022-08-12","Sudeste","ES",32,4018650,1210707,14741,30127.2068978388,366.814726338447
"2022-08-12","Sudeste","RJ",33,17264943,2468978,75162,14300.5279542481,435.344617123845
"2022-08-12","Sudeste","SP",35,45919049,5968917,173567,12998.781834528,377.984744414023
"2022-08-12","Sul","PR",41,11433957,2714079,44842,23737.0054828788,392.182688810182
"2022-08-12","Sul","SC",42,7164788,1851075,22299,25835.7260535832,311.230423007631
"2022-08-12","Sul","RS",43,11377239,2676473,40642,23524.8024586633,357.221993842267
"2022-08-12","Centro-Oeste","MS",50,2778986,571046,10747,20548.7181295624,386.723790620032
"2022-08-12","Centro-Oeste","MT",51,3484466,820288,14900,23541.2829397675,427.612150613609
"2022-08-12","Centro-Oeste","GO",52,7018354,1652076,27282,23539.3654979501,388.72362380125
"2022-08-12","Centro-Oeste","DF",53,3015268,835156,11825,27697.5711611704,392.170778849509
