"data","casos","n_casos","obitos","n_obitos"
"2020-02-25",0,0,0,0
"2020-02-26",1,1,0,0
"2020-02-27",1,0,0,0
"2020-02-28",1,0,0,0
"2020-02-29",2,1,0,0
"2020-03-01",2,0,0,0
"2020-03-02",2,0,0,0
"2020-03-03",2,0,0,0
"2020-03-04",3,1,0,0
"2020-03-05",7,4,0,0
"2020-03-06",13,6,0,0
"2020-03-07",19,6,0,0
"2020-03-08",25,6,0,0
"2020-03-09",25,0,0,0
"2020-03-10",34,9,0,0
"2020-03-11",52,18,0,0
"2020-03-12",77,25,0,0
"2020-03-13",98,21,0,0
"2020-03-14",121,23,0,0
"2020-03-15",200,79,0,0
"2020-03-16",234,34,0,0
"2020-03-17",291,57,1,1
"2020-03-18",428,137,4,3
"2020-03-19",621,193,6,2
"2020-03-20",904,283,11,5
"2020-03-21",1128,224,18,7
"2020-03-22",1546,418,25,7
"2020-03-23",1891,345,34,9
"2020-03-24",2201,310,46,12
"2020-03-25",2433,232,57,11
"2020-03-26",2915,482,77,20
"2020-03-27",3417,502,92,15
"2020-03-28",3903,486,114,22
"2020-03-29",4256,353,136,22
"2020-03-30",4579,323,159,23
"2020-03-31",5717,1138,201,42
"2020-04-01",6834,1117,241,40
"2020-04-02",7910,1076,299,58
"2020-04-03",9056,1146,359,60
"2020-04-04",10278,1222,432,73
"2020-04-05",11130,852,486,54
"2020-04-06",12056,926,553,67
"2020-04-07",13717,1661,667,114
"2020-04-08",15927,2210,800,133
"2020-04-09",17857,1930,941,141
"2020-04-10",19638,1781,1056,115
"2020-04-11",20727,1089,1124,68
"2020-04-12",22169,1442,1223,99
"2020-04-13",23430,1261,1328,105
"2020-04-14",25262,1832,1532,204
"2020-04-15",28320,3058,1736,204
"2020-04-16",30425,2105,1924,188
"2020-04-17",33682,3257,2141,217
"2020-04-18",36599,2917,2347,206
"2020-04-19",38654,2055,2462,115
"2020-04-20",40581,1927,2575,113
"2020-04-21",43079,2498,2741,166
"2020-04-22",45757,2678,2906,165
"2020-04-23",49492,3735,3313,407
"2020-04-24",52995,3503,3670,357
"2020-04-25",58509,5514,4016,346
"2020-04-26",61888,3379,4205,189
"2020-04-27",66501,4613,4543,338
"2020-04-28",71886,5385,5017,474
"2020-04-29",78162,6276,5466,449
"2020-04-30",85380,7218,5901,435
"2020-05-01",91299,5919,6329,428
"2020-05-02",96396,5097,6724,395
"2020-05-03",101147,4751,7025,301
"2020-05-04",107780,6633,7321,296
